video_id,trending_date,title,channel_title,category_id,publish_date,time_frame,published_day_of_week,publish_country,views,likes,dislikes,comment_count
#NAME?,17.16.11,Animal Adventure Park Giraffe Cam,Animal Adventure Park,15,12-11-17,0:00 to 0:59,Sunday,CA,46260,2286,35,17
pa_oUisZZy0,17.16.11,Mark Ruffalo Reads Hilarious Thirst Tweets,BuzzFeed Celeb,22,11-11-17,0:00 to 0:59,Saturday,GB,243412,7782,104,340
G8gJ4RTBxcg,17.16.11,Coconut crab hunts seabird,New Scientist,28,09-11-17,15:00 to 15:59,Thursday,JP,465893,111,14,59
UFYCTJlayS4,17.16.11,Top 10 iPhone Apps for Productivity & Content Creation,Sara Dietschy,1,11-11-17,3:00 to 3:59,Saturday,US,59168,2412,193,274
cccyOn99s4Y,17.16.11,Reacting to Running a Half Marathon | MEGANBYTES EP. 101,MeganBatoon,24,10-11-17,23:00 to 23:59,Friday,JP,82713,3124,151,250
arJ5h2TY3I4,17.16.11,FANTASY (feat. Amber Liu) by SUPERFRUIT,SUPERFRUIT,24,10-11-17,17:00 to 17:59,Friday,JP,1233722,115781,1615,9706
-2RVw2_QyxQ,17.16.11,2017 Champions Showdown: Day 3,Saint Louis Chess Club,27,12-11-17,2:00 to 2:59,Sunday,US,71089,460,27,20
uTH--XRCGxM,17.16.11,5 Strange Things That Happened to Stranger ThingsÃ¢â‚¬â„¢ Joe Keery on His GQ Photo Shoot,GQ,24,10-11-17,17:00 to 17:59,Friday,AU,127404,3869,56,111
xfmipNU4Odc,17.16.11,Edna's registered owner thought she was dead for 2 years!!!,Hope For Paws - Official Rescue Channel,15,10-11-17,18:00 to 18:59,Friday,GB,339256,17267,85,948
e4FApt6z55c,17.16.11,Kimbra - Top of the World (Official Music Video),kimbramusic,10,10-11-17,15:00 to 15:59,Friday,JP,226659,9725,400,1027
RkHuWjiR-LM,17.16.11,Neck Deep - Parachute (Official Music Video),Hopeless Records,10,10-11-17,18:00 to 18:59,Friday,BR,241314,15071,186,1011
gEHCXl4J9Qo,17.16.11,Taylor Swift - Ã¢â‚¬Å“New YearÃ¢â‚¬â„¢s DayÃ¢â‚¬Â Fan Performance,ABC Television Network,24,10-11-17,2:00 to 2:59,Friday,JP,2624056,75930,1949,3555
2XK4omx9uMU,17.16.11,Camila Cabello COMPLETELY NAILS 'Finish The Lyric',Capital FM,10,10-11-17,14:00 to 14:59,Friday,AU,1354030,57838,512,1257
abGCYPCk294,17.16.11,"Justice League Reactions, Should Disney Buy Netflix - The John Campea Show",John Campea,24,11-11-17,17:00 to 17:59,Saturday,AU,45236,1581,110,911
AJYb0Yom5UQ,17.16.11,Howard Stern: George Takei Talks About Harvey Weinstein and Sexually Assault,cocheusadoooo,23,17-10-17,20:00 to 20:59,Tuesday,JP,172587,379,49,199
fNtLIcyjsnI,17.16.11,"Game Night Official Trailer #1 (2018) Rachel McAdams, Jason Bateman Comedy Movie HD",Zero Media,1,09-11-17,17:00 to 17:59,Thursday,CA,2122489,20085,1104,1321
b4vTZx_AtHk,17.16.11,How To Dry a Shirt in 30 Seconds,HowToBasic,26,09-11-17,18:00 to 18:59,Thursday,BR,2291077,102726,12794,11941
YlvCVbfS9M0,17.16.11,Alan Walker - All Falls Down (Behind The Scenes),Alan Walker,10,11-11-17,15:00 to 15:59,Saturday,CA,935744,37129,622,2673
DIU3xPdhCBI,17.16.11,Sam Smith surprises brides at their wedding! (At The BBC),BBC Music,10,09-11-17,22:00 to 22:59,Thursday,BR,1262652,28119,1047,1113
Fyyua5JzD9w,17.16.11,Baby loves Jeopardy!,Daelric,22,10-11-17,17:00 to 17:59,Friday,US,49915,386,11,24
QFfEtKvXMAs,17.16.11,Niall Horan - Too Much To Ask (Acoustic),NiallHoranVEVO,10,10-11-17,17:00 to 17:59,Friday,BR,505794,55628,192,3033
jp9hK-jY6yY,17.16.11,When Someone Has A Crush on You | Lilly Singh,IISuperwomanII,23,09-11-17,22:00 to 22:59,Thursday,GB,3680540,216119,3570,20544
fRj34o4hN4I,17.17.11,"What's new, Atlas?",BostonDynamics,28,16-11-17,21:00 to 21:59,Thursday,GB,1603415,65594,700,12169
coOKvrsmQiI,17.17.11,RAMPAGE - OFFICIAL TRAILER 1 [HD],Warner Bros. Pictures,24,16-11-17,21:00 to 21:59,Thursday,US,2585193,40775,3498,8834
p8XP7A7kvzM,17.17.11,Spill Your Guts or Fill Your Guts w/ Kim Kardashian,The Late Late Show with James Corden,24,16-11-17,6:00 to 6:59,Thursday,BR,4722974,119107,3782,6651
8-Cjsnq8kVU,17.17.11,DeadpoolÃ¢â‚¬â„¢s Ã¢â‚¬Å“Wet on WetÃ¢â‚¬Â Teaser,20th Century Fox,1,15-11-17,14:00 to 14:59,Wednesday,CA,6659676,223821,4515,11792
pOEzjT-SED0,17.17.11,Remy Ma - Wake Me Up ft. Lil' Kim,RemyMaVEVO,10,16-11-17,15:00 to 15:59,Thursday,BR,804363,39816,6304,10586
p9wE8dyzEJE,17.17.11,A Quiet Place (2018) - Official Teaser Trailer - Paramount Pictures,Paramount Pictures,1,16-11-17,14:00 to 14:59,Thursday,IN,2336528,6729,167,1286
